name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
The Waterloo,8/10 Waterloo Road,Stockport,SK1 3BD,GB,53.4069521,-2.1538027,http://www.thewaterloo.robinsonsbrewery.com/,,+44 161 480 8647,12:00-00:00
Waggon and Horses,736-738 Hyde Road,Manchester,M18 7EF,GB,53.4596399,-2.1666959,https://www.joseph-holt.com/pubs/waggon-and-horses-gorton,,,Mo-Th 14:00-23:00; Fr 14:00-00:30; Sa 12:00-00:00; Su 12:00-23:00
The Snipe,387 Manchester Road,Manchester,M34 5RP,GB,53.4791999,-2.125846,https://www.robinsonsbrewery.com/pubs/the-snipe-audenshaw/,Robinsons,,Mo 17:00-20:00; Tu 17:00-23:30; We-Fr 16:00-24:00; Sa 12:00-24:00; Su 12:00-22:30
The Winston,Churchill Way,Salford,M6 5BU,GB,53.486401,-2.2849479,http://www.joseph-holt.com/pubs/winston,,+447827850296,Mo-Su 11:00-22:00
Cheadle Royal,,Manchester,,GB,53.378485,-2.2194541,https://www.tabletable.co.uk/en-gb/locations/cheshire/cheadle-royal,,,
Red Lion,83 Stockport Road,Cheadle,SK8 2AJ,GB,53.3954426,-2.2078822,,,,
Printers Arms,220 Stockport Road,Stockport,SK8 2BT,GB,53.3966206,-2.2020435,https://www.robinsonsbrewery.com/pubs/printers-arms-cheadle/,Robinsons,,
The Cheshire Line Tavern,Manchester Road,Cheadle,SK8 2NZ,GB,53.401809,-2.2172833,https://www.cheshirelinetavernpub.co.uk/,,,
The Paper Mill,Little 66,Bury,BL9 8RN,GB,53.5781097,-2.2753213,https://www.hungryhorse.co.uk/pubs/lancashire/paper-mill/,Greene King,,
Rovers Return,Coronation Street,Weatherfield,,GB,53.4707445,-2.302481,,,,"Mo-Su off ""Part of the Coronation Street set"""
Railway Hotel,13 Railway Road,Oldham,OL9 7LG,GB,53.5201112,-2.1463028,,,,
Legendz,,Manchester,,GB,53.4814655,-2.0581337,,,,
Society Rooms,,Manchester,,GB,53.4811759,-2.0572132,,,,
The Lord Stamford,,Manchester,,GB,53.4812572,-2.0566413,,,,
Wharf Tavern,,Manchester,,GB,53.4814676,-2.0621494,,,,
The Bridge Inn,,Manchester,,GB,53.4836023,-2.0604774,,,,
The White House,,Manchester,,GB,53.4839346,-2.0598466,,Hydes,,
The Old Fleece,29 Market Street,Stalybridge,SK15 2AL,GB,53.4840787,-2.0603454,,,+44 161 312 7187,
Olde Boars Head,111 Long Street,Middleton,M24 6UE,GB,53.5528809,-2.1968998,https://www.theoldeboarshead.co.uk,JW Lees,+44 161 643 0076,Su-We 12:00-23:00; Th-Sa 12:00-00:00
The Horse and Jockey,201 London Road,Stockport,SK7 4HJ,GB,53.3798676,-2.1211829,,,,
Huffys,251 London Road,Stockport,SK7 4PL,GB,53.3792552,-2.1191503,http://www.huffyscafebarandrestaurant.co.uk/,,,
White Hart,259 London Road,Stockport,SK7 4PL,GB,53.3790187,-2.1185876,,Robinsons,,
Duke of York,,Manchester,,GB,53.4131551,-2.0957483,,,,
Vale Cottage Inn,1 Croft Bank,Manchester,M18 8WH,GB,53.4607351,-2.1666882,http://www.thevalecottage.co.uk/,,+44 1612 234568,
The Plough,925-927 Hyde Road,Manchester,M18 7FB,GB,53.4609421,-2.1712944,,,,
Lord Nelson,3 Fox Fold,Manchester,M18 7FA,GB,53.4603317,-2.1676374,,,,
Alliance Inn,,Manchester,,GB,53.5168519,-2.2137028,,,,
Lloyd & Platt and Kamera Ballroom,617 Wilbraham Road,Manchester,M21 9AN,GB,53.4423828,-2.2811141,https://www.thelloydschorlton.co.uk/,,,
The Spread Eagle,,Manchester,,GB,53.4428457,-2.2816218,,,,
